날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	1999-05-01",247,14.3,3.7,24.7
"	1999-05-02",247,16.8,5.8,26.3
"	1999-05-03",247,,13.4,19.4
"	1999-05-04",247,16.1,10.5,23.1
"	1999-05-05",247,14,7.9,23.1
"	1999-05-06",247,14.1,4.1,25.2
"	1999-05-07",247,16.6,6.1,26.7
"	1999-05-08",247,17.4,9.9,26.5
"	1999-05-09",247,16.2,7.5,28.1
"	1999-05-10",247,17.4,7.5,27.2
"	1999-05-11",247,18.4,13,25.7
"	1999-05-12",247,17.9,9,27.9
"	1999-05-13",247,18.5,8.1,29.2
"	1999-05-14",247,19,10.3,27.9
"	1999-05-15",247,18.9,12.7,26.1
"	1999-05-16",247,20.3,12.7,28.5
"	1999-05-17",247,20.2,12.3,28.7
"	1999-05-18",247,18.7,16.1,20.3
"	1999-05-19",247,14.1,8.4,17.8
"	1999-05-20",247,15.8,6.3,24.6
"	1999-05-21",247,18.9,7.1,28.5
"	1999-05-22",247,19.4,10.1,28.7
"	1999-05-23",247,17.8,11.5,23.7
"	1999-05-24",247,17.5,15.6,19.4
"	1999-05-25",247,18.4,11.9,25.6
"	1999-05-26",247,16.1,11.4,22.9
"	1999-05-27",247,16.9,11.3,23.2
"	1999-05-28",247,14.8,6.4,23.3
"	1999-05-29",247,16.3,6.1,27.4
"	1999-05-30",247,18.6,9.1,29.1
"	1999-05-31",247,19.5,8.9,27.7
